ppm intensity peak
0.601429357 -0.000821059 1
0.601979109 0.026283955 1
0.602528862 0.023476487 1
0.603078615 0.037866846 1
0.603628367 0.04193676 1
0.60417812 0.050618641 1
0.604727872 0.035843625 1
0.605277625 0.031163934 1
0.605827378 0.027090366 1
0.60637713 0.012699267 1
0.606926883 0.004393141 1
0.607476636 0.014707551 1
0.608026388 0.015660422 1
0.608576141 0.016697509 1
0.609125893 0.028060562 1
0.609675646 0.050503127 1
0.610225399 0.037528887 1
0.610775151 0.032811624 1
0.611324904 0.014866206 1
0.611874656 0.051290701 1
0.612424409 0.050063681 1
0.612974162 0.026530698 1
0.613523914 0.026431138 1
0.614073667 0.011831997 1
0.614623419 0.040714977 1
0.615173172 0.03788697 1
0.615722925 0.022803097 1
0.616272677 0.023931813 1
0.61682243 0.04339256 1
0.617372183 0.023320532 1
0.617921935 0.016408884 1
0.618471688 0.024512691 1
0.61902144 0.014221473 1
0.619571193 0.01080801 1
0.620120946 0.003020467 1
0.620670698 0.015274469 1
0.621220451 0.024219679 1
0.621770203 0.005358249 1
0.622319956 -0.007261558 1
0.622869709 0.00689417 1
0.623419461 -0.010954662 1
0.623969214 -0.013324143 1
0.624518966 0.007612321 1
0.625068719 0.005468223 1
0.625618472 0.027532689 1
0.626168224 0.041317793 1
0.626717977 0.000926028 1
0.62726773 0.006267488 1
0.627817482 0.006267488 1
0.628367235 0.028318421 1
0.628916987 0.03477895 1
0.62946674 0.045222546 1
0.630016493 0.011644538 1
0.630566245 0.012671941 1
0.631115998 0.007997283 1
0.63166575 0.005984405 1
0.632215503 0.023785658 1
0.632765256 0.023785658 1
0.633315008 0.023785658 1
0.633864761 0.023785658 1
0.634414513 0.023785658 1
0.634964266 0.044736844 1
0.635514019 0.027840686 1
0.636063771 0.029157626 1
0.636613524 0.03731683 1
0.637163277 0.041219949 1
0.637713029 0.037280839 1
0.638262782 0.06779204 1
0.638812534 0.024691714 1
0.639362287 0.024691714 1
0.63991204 0.028330689 1
0.640461792 0.018194969 1
0.641011545 -0.001169644 1
0.641561297 0.01204327 1
0.64211105 0.032382437 1
0.642660803 0.041896193 1
0.643210555 0.018942584 1
0.643760308 0.01406448 1
0.64431006 0.04305296 1
0.644859813 0.026692499 1
0.645409566 0.026692499 1
0.645959318 0.032173154 1
0.646509071 0.032173154 1
0.647058824 0.032173154 1
0.647608576 0.032173154 1
0.648158329 0.03590912 1
0.648708081 0.033252433 1
0.649257834 0.013711576 1
0.649807587 0.022723636 1
0.650357339 0.022723636 1
0.650907092 0.022723636 1
0.651456844 0.034575415 1
0.652006597 0.034575415 1
0.65255635 0.034575415 1
0.653106102 0.044420376 1
0.653655855 0.054142937 1
0.654205607 0.036337241 1
0.65475536 0.055725124 1
0.655305113 0.047351666 1
0.655854865 0.041134457 1
0.656404618 0.029656333 1
0.656954371 0.049526333 1
0.657504123 0.034791073 1
0.658053876 0.046815859 1
0.658603628 0.026741369 1
0.659153381 0.029278555 1
0.659703134 0.016771308 1
0.660252886 0.041568899 1
0.660802639 0.044264418 1
0.661352391 0.039101089 1
0.661902144 0.04173289 1
0.662451897 0.040197047 1
0.663001649 0.040197047 1
0.663551402 0.050931668 1
0.664101154 0.050931668 1
0.664650907 0.055977122 1
0.66520066 0.024309078 1
0.665750412 0.039542895 1
0.666300165 0.036797874 1
0.666849918 0.023694908 1
0.66739967 0.033507454 1
0.667949423 0.084747363 1
0.668499175 0.049863383 1
0.669048928 0.035236943 1
0.669598681 0.036921692 1
0.670148433 0.013607161 1
0.670698186 0.028580862 1
0.671247938 0.059198564 1
0.671797691 0.0463728 1
0.672347444 0.048170793 1
0.672897196 0.050829177 1
0.673446949 0.021707002 1
0.673996701 0.016849448 1
0.674546454 0.048580926 1
0.675096207 0.030759548 1
0.675645959 0.062657276 1
0.676195712 0.060695375 1
0.676745465 0.04912616 1
0.677295217 0.032720323 1
0.67784497 0.052742359 1
0.678394722 0.024986002 1
0.678944475 0.035379103 1
0.679494228 0.012073886 1
0.68004398 0.014905853 1
0.680593733 0.006503428 1
0.681143485 0.056602319 1
